bid_id,bidder_id,auction,merchandise,device,time,country,ip,url
683,aa5f360084278b35d746fa6af3a7a1a5ra3xe,012wh,home goods,phone129,9759246894736842,ru,253.186.70.9,4wi3m09vh7q0qi4
889,d174177146370aacbd5ae107b6be78828tx3e,0wrpn,home goods,phone252,9759248105263157,uk,122.230.132.30,vasstdc27m7nks3
1142,47c5cd21a74e45dd294cdd53041ec0a3dw3ge,h2xrf,jewelry,phone297,9759249631578947,id,236.115.139.220,snebxl5xpcwh4pl
1406,0cea6e30d0b3e33b2a77d68b8c8e1ab3vzomo,ewmzr,sporting goods,phone220,9759251210526315,us,27.17.221.171,wemlczk58ypapsc
1465,d174177146370aacbd5ae107b6be78828tx3e,wfiyw,home goods,phone3,9759251578947368,in,144.85.145.5,vasstdc27m7nks3
3200,916d2d806b772c9f227a9b3640e31469ljrxo,jefix,mobile,phone346,9759261052631578,in,248.165.115.177,vasstdc27m7nks3
5469,a1f098bf4b0591c08ee404ed930a50feqd28q,qc9yg,mobile,phone101,9759268789473684,in,170.51.65.144,c9dkqd1roclwzvn
5561,0d8f88a469b37c741cb4dc02c39f9cd6kegig,71vl9,office equipment,phone170,9759269000000000,bd,62.56.224.45,vasstdc27m7nks3
5578,713fa3177b9c9c7c92cc9f74b71e84db0tss4,qc9yg,sporting goods,phone75,9759269052631578,in,241.217.120.50,qd2oegs443e8w5d
5927,d4fff6754330a9c72c75ef359dd802e1xkg2r,qc9yg,mobile,phone169,9759269789473684,sa,13.196.166.193,aujsdd1idmyi0o8
6949,713fa3177b9c9c7c92cc9f74b71e84db0tss4,gi05a,sporting goods,phone289,9759272105263157,in,141.191.115.218,mzri158qu2fkfga
7281,aa5f360084278b35d746fa6af3a7a1a5ra3xe,fnetm,home goods,phone275,9759272842105263,sa,111.115.101.139,vasstdc27m7nks3
7385,6c383b1e68fd6ca0f2002a0f03546ec0otsmv,169lh,home goods,phone149,9759273052631578,in,209.40.78.252,oatwgcdzhk1y0fm
7698,dbd340def489066ae13ffa5cd68e6d2917li7,zjooo,jewelry,phone22,9759273789473684,in,33.60.10.167,vasstdc27m7nks3
9047,35925d2293127747bb0beee4dbe87ff7om9b5,0elom,office equipment,phone179,9759277578947368,in,61.175.126.210,s1ht3gc62ss2av6
11110,713fa3177b9c9c7c92cc9f74b71e84db0tss4,8hp9m,sporting goods,phone127,9759283421052631,in,190.68.86.73,jb11d1i0p4uqs1s
12321,d9c6b6d7290e4475bcd6d264fb33a706fqtvc,jefix,mobile,phone124,9759286631578947,id,185.218.149.48,ocb0fil929sov0a
13916,a58ace8b671a7531c88814bc86b2a34cf0crb,j5nue,sporting goods,phone142,9759290736842105,za,234.179.242.151,n56xqo0yfqlrv1c
14279,a58ace8b671a7531c88814bc86b2a34cf0crb,3hgtx,sporting goods,phone1010,9759291631578947,id,177.153.1.21,vasstdc27m7nks3
14550,c671c7faec19e9409eed917213831d0015juj,4dyrq,jewelry,phone35,9759292263157894,in,105.224.23.177,rpmyxpxv0eakn4y
15682,6b09f3376045ebad1504abe3b05c9c943aezq,zw2xg,jewelry,phone4,9759295263157894,in,213.91.61.73,vasstdc27m7nks3
17456,67232116a1e0c27b7bb6d308c2a8eb05etmnh,fnetm,mobile,phone168,9759299789473684,sa,181.152.252.198,m0i8s8cy847cl00
18322,b304db127e7e8a4a90e4f2d4af7de0dbklty1,2uu2n,jewelry,phone4,9759301947368421,zm,202.130.71.167,vasstdc27m7nks3
19458,dbd340def489066ae13ffa5cd68e6d2917li7,7mkw3,jewelry,phone168,9759304894736842,tr,35.171.182.138,jv9qsku6ogb2lhc
20100,6c8ffec692e88d81e1b18d47818abb04v6llr,cpjss,home goods,phone1148,9759306578947368,za,8.96.195.34,vasstdc27m7nks3
23166,dd055846eb553ab8e953b084f2048d53bdqec,dpqy2,mobile,phone48,9759314842105263,us,232.239.241.90,vasstdc27m7nks3
24111,37bf6f23b628a3e2b5b22ba81beccbef0efoh,8hp9m,jewelry,phone93,9759317368421052,in,123.90.81.35,nea3bu3sgnmzrv2
24237,cffb5f3c1f4ca815d0f643fcb2f2f316beod4,bggqz,jewelry,phone159,9759317736842105,bn,58.253.126.211,ndx2qo7fals37gf
24735,713fa3177b9c9c7c92cc9f74b71e84db0tss4,8hp9m,sporting goods,phone4,9759319105263157,in,225.135.222.97,vasstdc27m7nks3
25182,87d674775b542a8c19027f94b5ff230fu6dbq,1l64e,jewelry,phone4,9759320368421052,in,249.173.43.52,vasstdc27m7nks3
25792,65827ce158a5d0b0e9197b170d1fa5b7kcccq,e1lsi,sporting goods,phone46,9759322105263157,cn,167.228.245.182,vasstdc27m7nks3
25956,4232a238b62c76354ab4b078ae70c7dfmhorx,jefix,jewelry,phone24,9759322631578947,in,213.225.77.188,5eezpg1jd0b0ruz
